Variables,measured_T
Tags,raw
Time,
2019-12-21 14:10:03,293.7643058669328
2019-12-21 14:10:04,294.5818146121262
2019-12-21 14:10:05,294.7575926363451
2019-12-21 14:10:06,294.2364057799431
2019-12-21 14:10:07,294.99593735246106
2019-12-21 14:10:08,296.0498160836297
2019-12-21 14:10:09,295.60293818093777
2019-12-21 14:10:10,296.88372399699324
2019-12-21 14:10:11,296.2247492224489
2019-12-21 14:10:12,297.7595443118328
2019-12-21 14:10:13,297.272653515139
2019-12-21 14:10:14,298.0893258788758
2019-12-21 14:10:15,298.1789440112015
2019-12-21 14:10:16,298.8027182418115
2019-12-21 14:10:17,298.9881189161064
2019-12-21 14:10:18,299.7111311036821
2019-12-21 14:10:19,299.6977089757412
2019-12-21 14:10:20,299.8343503979021
2019-12-21 14:10:21,300.1485809642776
2019-12-21 14:10:22,299.7028883204996
2019-12-21 14:10:23,299.6425198318475
2019-12-21 14:10:24,299.9316230749255
2019-12-21 14:10:25,300.01948597373735
2019-12-21 14:10:26,301.72149807175356
2019-12-21 14:10:27,301.51304633203114
2019-12-21 14:10:28,301.00179397442776
2019-12-21 14:10:29,301.5196954915814
2019-12-21 14:10:30,300.9724418462193
2019-12-21 14:10:31,301.5130212775673
2019-12-21 14:10:32,301.32066337129754
2019-12-21 14:10:33,302.8223947072
2019-12-21 14:10:34,302.8395586718251
2019-12-21 14:10:35,301.9095991663339
2019-12-21 14:10:36,302.41393488047436
2019-12-21 14:10:37,302.15329134997114
2019-12-21 14:10:38,303.2028716798
2019-12-21 14:10:39,302.80402047412406
2019-12-21 14:10:40,303.25596409353597
2019-12-21 14:10:41,303.859012246415
2019-12-21 14:10:42,303.23414812403075
2019-12-21 14:10:43,303.47127293743
2019-12-21 14:10:44,303.1536530907424
2019-12-21 14:10:45,304.02547765156146
2019-12-21 14:10:46,303.6499528212069
2019-12-21 14:10:47,304.2447062558674
2019-12-21 14:10:48,303.8804898079189
2019-12-21 14:10:49,303.9067135984028
2019-12-21 14:10:50,303.60705108756133
2019-12-21 14:10:51,303.830998938524
2019-12-21 14:10:52,304.1165560659731
2019-12-21 14:10:53,304.72214453888796
2019-12-21 14:10:54,303.4963065529274
2019-12-21 14:10:55,303.79739106675237
2019-12-21 14:10:56,303.6872132342073
2019-12-21 14:10:57,303.58824034786517
2019-12-21 14:10:58,304.6048209972075
2019-12-21 14:10:59,303.8859073241066
2019-12-21 14:11:00,304.5713519642551
2019-12-21 14:11:01,304.2297796203517
2019-12-21 14:11:02,304.964308656566
2019-12-21 14:11:03,303.9092055057338
2019-12-21 14:11:04,304.4461049711037
2019-12-21 14:11:05,304.94100305088176
2019-12-21 14:11:06,305.0203410219632
2019-12-21 14:11:07,305.31546855650595
2019-12-21 14:11:08,305.1405635924498
2019-12-21 14:11:09,304.42114850470495
2019-12-21 14:11:10,305.04301473903047
2019-12-21 14:11:11,304.1098071380264
2019-12-21 14:11:12,304.121366709045
2019-12-21 14:11:13,305.0021374660571
2019-12-21 14:11:14,304.36101376070275
2019-12-21 14:11:15,304.2964442437286
2019-12-21 14:11:16,304.6084374098457
2019-12-21 14:11:17,304.33840833830044
2019-12-21 14:11:18,304.5279851185121
2019-12-21 14:11:19,305.47265299285357
2019-12-21 14:11:20,305.69370880433274
2019-12-21 14:11:21,305.0542648664732
2019-12-21 14:11:22,305.14391182733186
2019-12-21 14:11:23,304.5176375038465
2019-12-21 14:11:24,305.15780155311774
2019-12-21 14:11:25,305.116528661482
2019-12-21 14:11:26,305.10577568352437
2019-12-21 14:11:27,305.09533495537147
2019-12-21 14:11:28,304.6542230294587
2019-12-21 14:11:29,305.57326713567574
2019-12-21 14:11:30,305.7888598063568
2019-12-21 14:11:31,305.0151917706233
2019-12-21 14:11:32,305.74525221930276
2019-12-21 14:11:33,304.7642931474958
2019-12-21 14:11:34,305.23044788214327
2019-12-21 14:11:35,305.12014244347665
2019-12-21 14:11:36,304.780714047022
2019-12-21 14:11:37,304.94936065928385
2019-12-21 14:11:38,304.5638010287158
2019-12-21 14:11:39,304.86673916820894
2019-12-21 14:11:40,305.6723921857636
2019-12-21 14:11:41,305.9686471395009
2019-12-21 14:11:42,304.7655246031818
2019-12-21 14:11:43,305.3447635266544
2019-12-21 14:11:44,306.00804314785626
2019-12-21 14:11:45,304.66275628141625
2019-12-21 14:11:46,306.015765364958
2019-12-21 14:11:47,305.8156537593703
2019-12-21 14:11:48,305.6691352825725
2019-12-21 14:11:49,305.0768659918306
